"site";"year";"sample";"species";"Length.mm";"Age.y";"code"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";7,7;6;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";9,1;7;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";11,2;9;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";9,9;7;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";11;7;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";8,9;8;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";8,1;8;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";8,1;7;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";10;8;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";9,9;8;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";8,5;7;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";8,9;8;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";10,2;7;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";10,5;7;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";9,2;8;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";10,4;9;"IV"
"Ivanovskaya";2008;"МК-4";"Macoma balthica";9,5;9;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,5;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,8;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,8;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2,5;2;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,8;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,8;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2;2;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,9;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2,1;2;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2,3;2;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,6;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2,2;2;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,5;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,8;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2,1;2;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,4;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,6;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,7;2;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2,8;2;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";2,2;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";3;3;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";3,7;3;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";3,4;3;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";3,4;3;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";4;4;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";4,1;4;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";4,3;4;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";4,3;3;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";5,5;5;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";5,4;5;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";5;4;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";5,1;6;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";5,7;5;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";1,6;1;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";3;3;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";6,3;5;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";7,1;7;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";6,5;5;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";6,1;5;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";7,1;6;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";7,9;8;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";9,4;9;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";8,1;7;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";9;8;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";8,5;7;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";9,7;9;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";8,6;7;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";8;7;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";9,9;9;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";11,3;10;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";12,1;10;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";10,5;10;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";9,5;9;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";10,8;10;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";8,8;8;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";9,9;8;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";10,5;9;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";10,4;8;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";9,6;8;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";9;9;"IV"
"Ivanovskaya";2008;"МК-5";"Macoma balthica";11;10;"IV"
"Nagornoe";2005;"mkz3";"Macoma balthica";6;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";8,8;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";9,8;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";10,2;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";10,4;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";10,4;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";10,7;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";12,5;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";12,7;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";12,9;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";13,2;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";13,7;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";14,4;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";14,7;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";14,7;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,2;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,2;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,2;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,4;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,6;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,6;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,7;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,7;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,8;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,9;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";15,9;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";16;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";16,2;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";16,3;"NA";"NG"
"Nagornoe";2005;"mkz3";"Macoma balthica";16,3;"NA";"NG"
"Nagornoe";2005;"mkz4";"Macoma balthica";12,4;"NA";"NG"
"Nagornoe";2005;"mkz4";"Macoma balthica";12,7;"NA";"NG"
"Nagornoe";2005;"mkz4";"Macoma balthica";16,5;"NA";"NG"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";7,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9,6;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";7,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";15,5;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";3,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";5,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";4,4;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";3,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9,6;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";15,9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";15,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";3,9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10,1;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";12,1;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";3,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10,5;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,5;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";5,5;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";5,4;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";15,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";6,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";5,9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";6,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11,1;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";12,9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";13,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";4,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9,5;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";16;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,4;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11,9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";4,4;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";16,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";4,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";12,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";7,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9,6;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";12,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";5,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";6,9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";1,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";6,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";12,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";5,1;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";14,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";3,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";14,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";14,1;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";4,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";4,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";7,4;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";11,9;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,1;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";14,5;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";8,3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";6,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";15;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";10,8;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";5,7;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";4,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";3,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";17,2;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";6,6;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";14,6;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";3;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";14,5;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";12;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";12,4;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";1,4;"NA";"AB"
"Abram";2005;"МКЗ-1.1";"Macoma balthica";9,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,6;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,9;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";16,2;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";15,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";16;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,2;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";2,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";1,2;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";7,4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";14,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";13;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";5,9;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";4,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";7,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";11,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,9;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";4,2;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";4,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";10,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,9;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";10,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";13,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";12,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";11;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,1;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";13,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";14;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";16;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";16;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";5,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";7,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";1,4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";1,4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";2;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";4,9;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";15;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";2,4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";7,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";4,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,9;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";5,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";14;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";14,6;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";12;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";11,9;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";10,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";5,6;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";5,4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";1,4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";1,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";4,6;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";16;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";6,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";"NA";"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";13,2;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";11;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";7,2;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";9,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";10;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";16,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";2,9;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";2,7;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";3,4;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";5,6;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";5,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";12,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";14,8;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";15,2;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";12,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";11,5;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";14,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";15,3;"NA";"AB"
"Abram";2005;"МКЗ-1.2";"Macoma balthica";8,1;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";2,2;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";"NA";"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";6,9;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";6,2;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";1,7;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";1,7;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";13;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";10,2;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";6;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";7,4;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";9,9;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";13,9;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";7;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";10,5;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";9,6;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";9,7;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";12,1;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";12,7;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";12,1;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";11;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";10,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";13,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";5,6;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";8,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";10,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";10,9;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";13,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";12,6;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";11,6;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";14;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";12,4;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";2,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";14,4;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";10,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";6,2;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";"NA";"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";4,1;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";"NA";"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";8,4;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";3,9;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";13,1;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";11,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";5,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";7,2;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";13,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";7;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";14,8;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";16,4;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";6,6;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";5,7;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";3,3;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";8,3;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";4;"NA";"AB"
"Abram";2005;"МКЗ-1.3";"Macoma balthica";16;"NA";"AB"
