"Length.int" "year" "sample" "Freq"
"1" "(0,1]" "1992" "1me1" NA
"1756" "(15,16]" "1995" "2me2" NA
"1757" "(16,17]" "1995" "2me2" NA
"1758" "(17,18]" "1995" "2me2" NA
"1759" "(18,19]" "1995" "2me2" NA
"1760" "(19,20]" "1995" "2me2" NA
"1761" "(0,1]" "1996" "2me2" NA
"1762" "(1,2]" "1996" "2me2" NA
"1763" "(2,3]" "1996" "2me2" NA
"1764" "(3,4]" "1996" "2me2" NA
"1765" "(4,5]" "1996" "2me2" NA
"1766" "(5,6]" "1996" "2me2" NA
"1767" "(6,7]" "1996" "2me2" NA
"1768" "(7,8]" "1996" "2me2" NA
"1769" "(8,9]" "1996" "2me2" NA
"1770" "(9,10]" "1996" "2me2" NA
"1771" "(10,11]" "1996" "2me2" NA
"1772" "(11,12]" "1996" "2me2" NA
"1773" "(12,13]" "1996" "2me2" NA
"1774" "(13,14]" "1996" "2me2" NA
"1775" "(14,15]" "1996" "2me2" NA
"1776" "(15,16]" "1996" "2me2" NA
"1777" "(16,17]" "1996" "2me2" NA
"1778" "(17,18]" "1996" "2me2" NA
"1779" "(18,19]" "1996" "2me2" NA
"1780" "(19,20]" "1996" "2me2" NA
"1781" "(0,1]" "1997" "2me2" NA
"1782" "(1,2]" "1997" "2me2" NA
"1783" "(2,3]" "1997" "2me2" NA
"1784" "(3,4]" "1997" "2me2" NA
"1785" "(4,5]" "1997" "2me2" NA
"1786" "(5,6]" "1997" "2me2" NA
"1787" "(6,7]" "1997" "2me2" NA
"1788" "(7,8]" "1997" "2me2" NA
"1789" "(8,9]" "1997" "2me2" NA
"1790" "(9,10]" "1997" "2me2" NA
"1791" "(10,11]" "1997" "2me2" NA
"1792" "(11,12]" "1997" "2me2" NA
"1793" "(12,13]" "1997" "2me2" NA
"1794" "(13,14]" "1997" "2me2" NA
"1795" "(14,15]" "1997" "2me2" NA
"1796" "(15,16]" "1997" "2me2" NA
"1797" "(16,17]" "1997" "2me2" NA
"1798" "(17,18]" "1997" "2me2" NA
"1799" "(18,19]" "1997" "2me2" NA
"1800" "(19,20]" "1997" "2me2" NA
"1801" "(0,1]" "1998" "2me2" NA
"1802" "(1,2]" "1998" "2me2" NA
"1803" "(2,3]" "1998" "2me2" NA
"1804" "(3,4]" "1998" "2me2" NA
"1805" "(4,5]" "1998" "2me2" NA
"1806" "(5,6]" "1998" "2me2" NA
"1807" "(6,7]" "1998" "2me2" NA
"1808" "(7,8]" "1998" "2me2" NA
"1809" "(8,9]" "1998" "2me2" NA
"1810" "(9,10]" "1998" "2me2" NA
"1811" "(10,11]" "1998" "2me2" NA
"1812" "(11,12]" "1998" "2me2" NA
"1813" "(12,13]" "1998" "2me2" NA
"1814" "(13,14]" "1998" "2me2" NA
"1815" "(14,15]" "1998" "2me2" NA
"1816" "(15,16]" "1998" "2me2" NA
"1817" "(16,17]" "1998" "2me2" NA
"1818" "(17,18]" "1998" "2me2" NA
"1819" "(18,19]" "1998" "2me2" NA
"1820" "(19,20]" "1998" "2me2" NA
"1821" "(0,1]" "1999" "2me2" NA
"1822" "(1,2]" "1999" "2me2" NA
"1823" "(2,3]" "1999" "2me2" NA
"1824" "(3,4]" "1999" "2me2" NA
"1825" "(4,5]" "1999" "2me2" NA
"1826" "(5,6]" "1999" "2me2" NA
"1827" "(6,7]" "1999" "2me2" NA
"1828" "(7,8]" "1999" "2me2" NA
"1829" "(8,9]" "1999" "2me2" NA
"1830" "(9,10]" "1999" "2me2" NA
"1831" "(10,11]" "1999" "2me2" NA
"1832" "(11,12]" "1999" "2me2" NA
"1833" "(12,13]" "1999" "2me2" NA
"1834" "(13,14]" "1999" "2me2" NA
"1835" "(14,15]" "1999" "2me2" NA
"1836" "(15,16]" "1999" "2me2" NA
"1837" "(16,17]" "1999" "2me2" NA
"1838" "(17,18]" "1999" "2me2" NA
"1839" "(18,19]" "1999" "2me2" NA
"1840" "(19,20]" "1999" "2me2" NA
"1841" "(0,1]" "2000" "2me2" NA
"1842" "(1,2]" "2000" "2me2" NA
"1843" "(2,3]" "2000" "2me2" NA
"1844" "(3,4]" "2000" "2me2" NA
"1845" "(4,5]" "2000" "2me2" NA
"1846" "(5,6]" "2000" "2me2" NA
"1847" "(6,7]" "2000" "2me2" NA
"1848" "(7,8]" "2000" "2me2" NA
"1849" "(8,9]" "2000" "2me2" NA
"1850" "(9,10]" "2000" "2me2" NA
"1851" "(10,11]" "2000" "2me2" NA
"1852" "(11,12]" "2000" "2me2" NA
"1853" "(12,13]" "2000" "2me2" NA
"1854" "(13,14]" "2000" "2me2" NA
"1855" "(14,15]" "2000" "2me2" NA
"1856" "(15,16]" "2000" "2me2" NA
"1857" "(16,17]" "2000" "2me2" NA
"1858" "(17,18]" "2000" "2me2" NA
"1859" "(18,19]" "2000" "2me2" NA
"1860" "(19,20]" "2000" "2me2" NA
"1861" "(0,1]" "2001" "2me2" NA
"1862" "(1,2]" "2001" "2me2" NA
"1863" "(2,3]" "2001" "2me2" NA
"1864" "(3,4]" "2001" "2me2" NA
"1865" "(4,5]" "2001" "2me2" NA
"1866" "(5,6]" "2001" "2me2" NA
"1867" "(6,7]" "2001" "2me2" NA
"1868" "(7,8]" "2001" "2me2" NA
"1869" "(8,9]" "2001" "2me2" NA
"1870" "(9,10]" "2001" "2me2" NA
"1871" "(10,11]" "2001" "2me2" NA
"1872" "(11,12]" "2001" "2me2" NA
"1873" "(12,13]" "2001" "2me2" NA
"1874" "(13,14]" "2001" "2me2" NA
"1875" "(14,15]" "2001" "2me2" NA
"1876" "(15,16]" "2001" "2me2" NA
"1877" "(16,17]" "2001" "2me2" NA
"1878" "(17,18]" "2001" "2me2" NA
"1879" "(18,19]" "2001" "2me2" NA
"1880" "(19,20]" "2001" "2me2" NA
"1881" "(0,1]" "2002" "2me2" NA
"1882" "(1,2]" "2002" "2me2" NA
"1883" "(2,3]" "2002" "2me2" NA
"1884" "(3,4]" "2002" "2me2" NA
"1885" "(4,5]" "2002" "2me2" NA
"1886" "(5,6]" "2002" "2me2" NA
"1887" "(6,7]" "2002" "2me2" NA
"1888" "(7,8]" "2002" "2me2" NA
"1889" "(8,9]" "2002" "2me2" NA
"1890" "(9,10]" "2002" "2me2" NA
"1891" "(10,11]" "2002" "2me2" NA
"1892" "(11,12]" "2002" "2me2" NA
"1893" "(12,13]" "2002" "2me2" NA
"1894" "(13,14]" "2002" "2me2" NA
"1895" "(14,15]" "2002" "2me2" NA
"1896" "(15,16]" "2002" "2me2" NA
"1897" "(16,17]" "2002" "2me2" NA
"1898" "(17,18]" "2002" "2me2" NA
"1899" "(18,19]" "2002" "2me2" NA
"1900" "(19,20]" "2002" "2me2" NA
"1901" "(0,1]" "2003" "2me2" NA
"1902" "(1,2]" "2003" "2me2" NA
"1903" "(2,3]" "2003" "2me2" NA
"1904" "(3,4]" "2003" "2me2" NA
"1905" "(4,5]" "2003" "2me2" NA
"1906" "(5,6]" "2003" "2me2" NA
"1907" "(6,7]" "2003" "2me2" NA
"1908" "(7,8]" "2003" "2me2" NA
"1909" "(8,9]" "2003" "2me2" NA
"1910" "(9,10]" "2003" "2me2" NA
"1911" "(10,11]" "2003" "2me2" NA
"1912" "(11,12]" "2003" "2me2" NA
"1913" "(12,13]" "2003" "2me2" NA
"1914" "(13,14]" "2003" "2me2" NA
"1915" "(14,15]" "2003" "2me2" NA
"1916" "(15,16]" "2003" "2me2" NA
"1917" "(16,17]" "2003" "2me2" NA
"1918" "(17,18]" "2003" "2me2" NA
"1919" "(18,19]" "2003" "2me2" NA
"1920" "(19,20]" "2003" "2me2" NA
"1921" "(0,1]" "2004" "2me2" NA
"1922" "(1,2]" "2004" "2me2" NA
"1923" "(2,3]" "2004" "2me2" NA
"1924" "(3,4]" "2004" "2me2" NA
"1925" "(4,5]" "2004" "2me2" NA
"1926" "(5,6]" "2004" "2me2" NA
"1927" "(6,7]" "2004" "2me2" NA
"1928" "(7,8]" "2004" "2me2" NA
"1929" "(8,9]" "2004" "2me2" NA
"1930" "(9,10]" "2004" "2me2" NA
"1931" "(10,11]" "2004" "2me2" NA
"1932" "(11,12]" "2004" "2me2" NA
"1933" "(12,13]" "2004" "2me2" NA
"1934" "(13,14]" "2004" "2me2" NA
"1935" "(14,15]" "2004" "2me2" NA
"1936" "(15,16]" "2004" "2me2" NA
"1937" "(16,17]" "2004" "2me2" NA
"1938" "(17,18]" "2004" "2me2" NA
"1939" "(18,19]" "2004" "2me2" NA
"1940" "(19,20]" "2004" "2me2" NA
"1941" "(0,1]" "2005" "2me2" NA
"1942" "(1,2]" "2005" "2me2" NA
"1943" "(2,3]" "2005" "2me2" NA
"1944" "(3,4]" "2005" "2me2" NA
"1945" "(4,5]" "2005" "2me2" NA
"1946" "(5,6]" "2005" "2me2" NA
"1947" "(6,7]" "2005" "2me2" NA
"1948" "(7,8]" "2005" "2me2" NA
"1949" "(8,9]" "2005" "2me2" NA
"1950" "(9,10]" "2005" "2me2" NA
"1951" "(10,11]" "2005" "2me2" NA
"1952" "(11,12]" "2005" "2me2" NA
"1953" "(12,13]" "2005" "2me2" NA
"1954" "(13,14]" "2005" "2me2" NA
"1955" "(14,15]" "2005" "2me2" NA
"1956" "(15,16]" "2005" "2me2" NA
"1957" "(16,17]" "2005" "2me2" NA
"1958" "(17,18]" "2005" "2me2" NA
"1959" "(18,19]" "2005" "2me2" NA
"1960" "(19,20]" "2005" "2me2" NA
"1961" "(0,1]" "2006" "2me2" NA
"1962" "(1,2]" "2006" "2me2" NA
"1963" "(2,3]" "2006" "2me2" NA
"1964" "(3,4]" "2006" "2me2" NA
"1965" "(4,5]" "2006" "2me2" NA
"1966" "(5,6]" "2006" "2me2" NA
"1967" "(6,7]" "2006" "2me2" NA
"1968" "(7,8]" "2006" "2me2" NA
"1969" "(8,9]" "2006" "2me2" NA
"1970" "(9,10]" "2006" "2me2" NA
"1971" "(10,11]" "2006" "2me2" NA
"1972" "(11,12]" "2006" "2me2" NA
"1973" "(12,13]" "2006" "2me2" NA
"1974" "(13,14]" "2006" "2me2" NA
"1975" "(14,15]" "2006" "2me2" NA
"1976" "(15,16]" "2006" "2me2" NA
"1977" "(16,17]" "2006" "2me2" NA
"1978" "(17,18]" "2006" "2me2" NA
"1979" "(18,19]" "2006" "2me2" NA
"1980" "(19,20]" "2006" "2me2" NA
"1981" "(0,1]" "2007" "2me2" NA
"1982" "(1,2]" "2007" "2me2" NA
"1983" "(2,3]" "2007" "2me2" NA
"1984" "(3,4]" "2007" "2me2" NA
"1985" "(4,5]" "2007" "2me2" 3
"1986" "(5,6]" "2007" "2me2" NA
"1987" "(6,7]" "2007" "2me2" NA
"1988" "(7,8]" "2007" "2me2" NA
"1989" "(8,9]" "2007" "2me2" NA
"1990" "(9,10]" "2007" "2me2" NA
"1991" "(10,11]" "2007" "2me2" NA
"1992" "(11,12]" "2007" "2me2" NA
"1993" "(12,13]" "2007" "2me2" NA
"1994" "(13,14]" "2007" "2me2" 0
"1995" "(14,15]" "2007" "2me2" NA
"1996" "(15,16]" "2007" "2me2" NA
"1997" "(16,17]" "2007" "2me2" NA
"1998" "(17,18]" "2007" "2me2" NA
"1999" "(18,19]" "2007" "2me2" NA
"2000" "(19,20]" "2007" "2me2" NA
"2001" "(0,1]" "2008" "2me2" NA
"2002" "(1,2]" "2008" "2me2" NA
"2003" "(2,3]" "2008" "2me2" NA
"2004" "(3,4]" "2008" "2me2" NA
"2005" "(4,5]" "2008" "2me2" NA
"2006" "(5,6]" "2008" "2me2" NA
"2007" "(6,7]" "2008" "2me2" NA
"2008" "(7,8]" "2008" "2me2" NA
"2009" "(8,9]" "2008" "2me2" NA
"2010" "(9,10]" "2008" "2me2" NA
"2011" "(10,11]" "2008" "2me2" NA
"2012" "(11,12]" "2008" "2me2" NA
"2013" "(12,13]" "2008" "2me2" NA
"2014" "(13,14]" "2008" "2me2" NA
"2015" "(14,15]" "2008" "2me2" NA
"2016" "(15,16]" "2008" "2me2" NA
"2017" "(16,17]" "2008" "2me2" NA
"2018" "(17,18]" "2008" "2me2" NA
"2019" "(18,19]" "2008" "2me2" NA
"2020" "(19,20]" "2008" "2me2" NA
"2021" "(0,1]" "2009" "2me2" NA
"2022" "(1,2]" "2009" "2me2" NA
"2023" "(2,3]" "2009" "2me2" NA
"2024" "(3,4]" "2009" "2me2" NA
"2025" "(4,5]" "2009" "2me2" NA
"2026" "(5,6]" "2009" "2me2" NA
"2027" "(6,7]" "2009" "2me2" NA
"2028" "(7,8]" "2009" "2me2" NA
"2029" "(8,9]" "2009" "2me2" NA
"2030" "(9,10]" "2009" "2me2" NA
"2031" "(10,11]" "2009" "2me2" NA
"2032" "(11,12]" "2009" "2me2" NA
"2033" "(12,13]" "2009" "2me2" NA
"2034" "(13,14]" "2009" "2me2" NA
"2035" "(14,15]" "2009" "2me2" NA
"2036" "(15,16]" "2009" "2me2" NA
"2037" "(16,17]" "2009" "2me2" NA
"2038" "(17,18]" "2009" "2me2" NA
"2039" "(18,19]" "2009" "2me2" NA
"2040" "(19,20]" "2009" "2me2" NA
"2041" "(0,1]" "2010" "2me2" NA
"2042" "(1,2]" "2010" "2me2" NA
"2043" "(2,3]" "2010" "2me2" NA
"2044" "(3,4]" "2010" "2me2" NA
"2045" "(4,5]" "2010" "2me2" NA
"2046" "(5,6]" "2010" "2me2" NA
"2047" "(6,7]" "2010" "2me2" NA
"2048" "(7,8]" "2010" "2me2" NA
"2049" "(8,9]" "2010" "2me2" NA
"2050" "(9,10]" "2010" "2me2" NA
"2051" "(10,11]" "2010" "2me2" NA
"2052" "(11,12]" "2010" "2me2" NA
"2053" "(12,13]" "2010" "2me2" NA
"2054" "(13,14]" "2010" "2me2" NA
"2055" "(14,15]" "2010" "2me2" NA
"2056" "(15,16]" "2010" "2me2" NA
"2057" "(16,17]" "2010" "2me2" NA
"2058" "(17,18]" "2010" "2me2" NA
"2059" "(18,19]" "2010" "2me2" NA
"2060" "(19,20]" "2010" "2me2" NA
"2061" "(0,1]" "2011" "2me2" NA
"2062" "(1,2]" "2011" "2me2" NA
"2063" "(2,3]" "2011" "2me2" NA
"2064" "(3,4]" "2011" "2me2" NA
"2065" "(4,5]" "2011" "2me2" NA
"2066" "(5,6]" "2011" "2me2" NA
"2067" "(6,7]" "2011" "2me2" NA
"2068" "(7,8]" "2011" "2me2" NA
"2069" "(8,9]" "2011" "2me2" NA
"2070" "(9,10]" "2011" "2me2" NA
"2071" "(10,11]" "2011" "2me2" NA
"2072" "(11,12]" "2011" "2me2" NA
"2073" "(12,13]" "2011" "2me2" NA
"2074" "(13,14]" "2011" "2me2" NA
"2075" "(14,15]" "2011" "2me2" NA
"2076" "(15,16]" "2011" "2me2" NA
"2077" "(16,17]" "2011" "2me2" NA
"2078" "(17,18]" "2011" "2me2" NA
"2079" "(18,19]" "2011" "2me2" NA
"2080" "(19,20]" "2011" "2me2" NA
"2081" "(0,1]" "2012" "2me2" NA
"2082" "(1,2]" "2012" "2me2" NA
"2083" "(2,3]" "2012" "2me2" NA
"2084" "(3,4]" "2012" "2me2" NA
"2085" "(4,5]" "2012" "2me2" NA
"2086" "(5,6]" "2012" "2me2" NA
"2087" "(6,7]" "2012" "2me2" NA
"2088" "(7,8]" "2012" "2me2" NA
"2089" "(8,9]" "2012" "2me2" NA
"2090" "(9,10]" "2012" "2me2" NA
"2091" "(10,11]" "2012" "2me2" NA
"2092" "(11,12]" "2012" "2me2" NA
"2093" "(12,13]" "2012" "2me2" NA
"2094" "(13,14]" "2012" "2me2" NA
"2095" "(14,15]" "2012" "2me2" NA
"2096" "(15,16]" "2012" "2me2" NA
"2097" "(16,17]" "2012" "2me2" NA
"2098" "(17,18]" "2012" "2me2" NA
"2099" "(18,19]" "2012" "2me2" NA
"2100" "(19,20]" "2012" "2me2" NA
"2101" "(0,1]" "1992" "2me3" NA
"2102" "(1,2]" "1992" "2me3" NA
"2103" "(2,3]" "1992" "2me3" NA
"2104" "(3,4]" "1992" "2me3" NA
"2105" "(4,5]" "1992" "2me3" NA
"2106" "(5,6]" "1992" "2me3" NA
"2107" "(6,7]" "1992" "2me3" NA
"2108" "(7,8]" "1992" "2me3" NA
"2109" "(8,9]" "1992" "2me3" NA
"2110" "(9,10]" "1992" "2me3" NA
"2111" "(10,11]" "1992" "2me3" NA
"2112" "(11,12]" "1992" "2me3" NA
"2113" "(12,13]" "1992" "2me3" NA
"2114" "(13,14]" "1992" "2me3" NA
"2115" "(14,15]" "1992" "2me3" NA
"2116" "(15,16]" "1992" "2me3" NA
"2117" "(16,17]" "1992" "2me3" NA
"2118" "(17,18]" "1992" "2me3" NA
"2119" "(18,19]" "1992" "2me3" NA
"2120" "(19,20]" "1992" "2me3" NA
"2121" "(0,1]" "1993" "2me3" NA
"2122" "(1,2]" "1993" "2me3" NA
"2123" "(2,3]" "1993" "2me3" NA
"2124" "(3,4]" "1993" "2me3" NA
"2125" "(4,5]" "1993" "2me3" NA
"2126" "(5,6]" "1993" "2me3" NA
"2127" "(6,7]" "1993" "2me3" NA
"2128" "(7,8]" "1993" "2me3" NA
"2129" "(8,9]" "1993" "2me3" NA
"2130" "(9,10]" "1993" "2me3" NA
"2131" "(10,11]" "1993" "2me3" NA
"2132" "(11,12]" "1993" "2me3" NA
"2133" "(12,13]" "1993" "2me3" NA
"2134" "(13,14]" "1993" "2me3" NA
"2135" "(14,15]" "1993" "2me3" NA
"2136" "(15,16]" "1993" "2me3" NA
"2137" "(16,17]" "1993" "2me3" NA
"2138" "(17,18]" "1993" "2me3" NA
"2139" "(18,19]" "1993" "2me3" NA
"2140" "(19,20]" "1993" "2me3" NA
"2141" "(0,1]" "1994" "2me3" NA
"2142" "(1,2]" "1994" "2me3" NA
"2143" "(2,3]" "1994" "2me3" NA
"2144" "(3,4]" "1994" "2me3" NA
"2145" "(4,5]" "1994" "2me3" NA
"2146" "(5,6]" "1994" "2me3" NA
"2147" "(6,7]" "1994" "2me3" NA
"2148" "(7,8]" "1994" "2me3" NA
"2149" "(8,9]" "1994" "2me3" NA
"2150" "(9,10]" "1994" "2me3" NA
"2151" "(10,11]" "1994" "2me3" NA
"2152" "(11,12]" "1994" "2me3" NA
"2153" "(12,13]" "1994" "2me3" NA
"2154" "(13,14]" "1994" "2me3" NA
"2155" "(14,15]" "1994" "2me3" NA
"2156" "(15,16]" "1994" "2me3" NA
"2157" "(16,17]" "1994" "2me3" NA
"2158" "(17,18]" "1994" "2me3" NA
"2159" "(18,19]" "1994" "2me3" NA
"2160" "(19,20]" "1994" "2me3" NA
"2161" "(0,1]" "1995" "2me3" NA
"2162" "(1,2]" "1995" "2me3" NA
"2163" "(2,3]" "1995" "2me3" NA
"2164" "(3,4]" "1995" "2me3" NA
"2165" "(4,5]" "1995" "2me3" NA
"2166" "(5,6]" "1995" "2me3" NA
"2167" "(6,7]" "1995" "2me3" NA
"2168" "(7,8]" "1995" "2me3" NA
"2169" "(8,9]" "1995" "2me3" NA
"2170" "(9,10]" "1995" "2me3" NA
"2171" "(10,11]" "1995" "2me3" NA
"2172" "(11,12]" "1995" "2me3" NA
"2173" "(12,13]" "1995" "2me3" NA
"2174" "(13,14]" "1995" "2me3" NA
"2175" "(14,15]" "1995" "2me3" NA
"2176" "(15,16]" "1995" "2me3" NA
"2177" "(16,17]" "1995" "2me3" NA
"2178" "(17,18]" "1995" "2me3" NA
"2179" "(18,19]" "1995" "2me3" NA
"2180" "(19,20]" "1995" "2me3" NA
"2181" "(0,1]" "1996" "2me3" NA
"2182" "(1,2]" "1996" "2me3" NA
"2183" "(2,3]" "1996" "2me3" NA
"2184" "(3,4]" "1996" "2me3" NA
"2185" "(4,5]" "1996" "2me3" NA
"2186" "(5,6]" "1996" "2me3" NA
"2187" "(6,7]" "1996" "2me3" NA
"2188" "(7,8]" "1996" "2me3" NA
"2189" "(8,9]" "1996" "2me3" NA
"2190" "(9,10]" "1996" "2me3" NA
"2191" "(10,11]" "1996" "2me3" NA
"2192" "(11,12]" "1996" "2me3" NA
"2193" "(12,13]" "1996" "2me3" NA
"2194" "(13,14]" "1996" "2me3" NA
"2195" "(14,15]" "1996" "2me3" NA
"2196" "(15,16]" "1996" "2me3" NA
"2197" "(16,17]" "1996" "2me3" NA
"2198" "(17,18]" "1996" "2me3" NA
"2199" "(18,19]" "1996" "2me3" NA
"2200" "(19,20]" "1996" "2me3" NA
"2201" "(0,1]" "1997" "2me3" NA
"2202" "(1,2]" "1997" "2me3" NA
"2203" "(2,3]" "1997" "2me3" NA
"2204" "(3,4]" "1997" "2me3" NA
"2205" "(4,5]" "1997" "2me3" NA
"2206" "(5,6]" "1997" "2me3" NA
"2207" "(6,7]" "1997" "2me3" NA
"2208" "(7,8]" "1997" "2me3" NA
"2209" "(8,9]" "1997" "2me3" NA
"2210" "(9,10]" "1997" "2me3" NA
"2211" "(10,11]" "1997" "2me3" NA
"2212" "(11,12]" "1997" "2me3" NA
"2213" "(12,13]" "1997" "2me3" NA
"2214" "(13,14]" "1997" "2me3" NA
"2215" "(14,15]" "1997" "2me3" NA
"2216" "(15,16]" "1997" "2me3" NA
"2217" "(16,17]" "1997" "2me3" NA
"2218" "(17,18]" "1997" "2me3" NA
"2219" "(18,19]" "1997" "2me3" NA
"2220" "(19,20]" "1997" "2me3" NA
"2221" "(0,1]" "1998" "2me3" NA
"2222" "(1,2]" "1998" "2me3" NA
"2223" "(2,3]" "1998" "2me3" NA
"2224" "(3,4]" "1998" "2me3" NA
"2225" "(4,5]" "1998" "2me3" NA
"2226" "(5,6]" "1998" "2me3" NA
"2227" "(6,7]" "1998" "2me3" NA
"2228" "(7,8]" "1998" "2me3" NA
"2229" "(8,9]" "1998" "2me3" NA
"2230" "(9,10]" "1998" "2me3" NA
"2231" "(10,11]" "1998" "2me3" NA
"2232" "(11,12]" "1998" "2me3" NA
"2233" "(12,13]" "1998" "2me3" NA
"2234" "(13,14]" "1998" "2me3" NA
"2235" "(14,15]" "1998" "2me3" NA
"2236" "(15,16]" "1998" "2me3" NA
"2237" "(16,17]" "1998" "2me3" NA
"2238" "(17,18]" "1998" "2me3" NA
"2239" "(18,19]" "1998" "2me3" NA
"2240" "(19,20]" "1998" "2me3" NA
"2241" "(0,1]" "1999" "2me3" NA
"2242" "(1,2]" "1999" "2me3" NA
"2243" "(2,3]" "1999" "2me3" NA
"2244" "(3,4]" "1999" "2me3" NA
"2245" "(4,5]" "1999" "2me3" NA
"2246" "(5,6]" "1999" "2me3" NA
"2247" "(6,7]" "1999" "2me3" NA
"2248" "(7,8]" "1999" "2me3" NA
"2249" "(8,9]" "1999" "2me3" NA
"2250" "(9,10]" "1999" "2me3" NA
"2251" "(10,11]" "1999" "2me3" NA
"2252" "(11,12]" "1999" "2me3" NA
"2253" "(12,13]" "1999" "2me3" NA
"2254" "(13,14]" "1999" "2me3" NA
"2255" "(14,15]" "1999" "2me3" NA
"2256" "(15,16]" "1999" "2me3" NA
"2257" "(16,17]" "1999" "2me3" NA
"2258" "(17,18]" "1999" "2me3" NA
"2259" "(18,19]" "1999" "2me3" NA
"2260" "(19,20]" "1999" "2me3" NA
"2261" "(0,1]" "2000" "2me3" NA
"2262" "(1,2]" "2000" "2me3" NA
"2263" "(2,3]" "2000" "2me3" NA
"2264" "(3,4]" "2000" "2me3" NA
"2265" "(4,5]" "2000" "2me3" NA
"2266" "(5,6]" "2000" "2me3" NA
"2267" "(6,7]" "2000" "2me3" NA
"2268" "(7,8]" "2000" "2me3" NA
"2269" "(8,9]" "2000" "2me3" NA
"2270" "(9,10]" "2000" "2me3" NA
"2271" "(10,11]" "2000" "2me3" NA
"2272" "(11,12]" "2000" "2me3" NA
"2273" "(12,13]" "2000" "2me3" NA
"2274" "(13,14]" "2000" "2me3" NA
"2275" "(14,15]" "2000" "2me3" NA
"2276" "(15,16]" "2000" "2me3" NA
"2277" "(16,17]" "2000" "2me3" NA
"2278" "(17,18]" "2000" "2me3" NA
"2279" "(18,19]" "2000" "2me3" NA
"2280" "(19,20]" "2000" "2me3" NA
"2281" "(0,1]" "2001" "2me3" NA
"2282" "(1,2]" "2001" "2me3" NA
"2283" "(2,3]" "2001" "2me3" NA
"2284" "(3,4]" "2001" "2me3" NA
"2285" "(4,5]" "2001" "2me3" NA
"2286" "(5,6]" "2001" "2me3" NA
"2287" "(6,7]" "2001" "2me3" NA
"2288" "(7,8]" "2001" "2me3" NA
"2289" "(8,9]" "2001" "2me3" NA
"2290" "(9,10]" "2001" "2me3" NA
"2291" "(10,11]" "2001" "2me3" NA
"2292" "(11,12]" "2001" "2me3" NA
"2293" "(12,13]" "2001" "2me3" NA
"2294" "(13,14]" "2001" "2me3" NA
"2295" "(14,15]" "2001" "2me3" NA
"2296" "(15,16]" "2001" "2me3" NA
"2297" "(16,17]" "2001" "2me3" NA
"2298" "(17,18]" "2001" "2me3" NA
"2299" "(18,19]" "2001" "2me3" NA
"2300" "(19,20]" "2001" "2me3" NA
"2301" "(0,1]" "2002" "2me3" NA
"2302" "(1,2]" "2002" "2me3" NA
"2303" "(2,3]" "2002" "2me3" NA
"2304" "(3,4]" "2002" "2me3" NA
"2305" "(4,5]" "2002" "2me3" NA
"2306" "(5,6]" "2002" "2me3" NA
"2307" "(6,7]" "2002" "2me3" NA
"2308" "(7,8]" "2002" "2me3" NA
"2309" "(8,9]" "2002" "2me3" NA
"2310" "(9,10]" "2002" "2me3" NA
"2311" "(10,11]" "2002" "2me3" NA
"2312" "(11,12]" "2002" "2me3" NA
"2313" "(12,13]" "2002" "2me3" NA
"2314" "(13,14]" "2002" "2me3" NA
"2315" "(14,15]" "2002" "2me3" NA
"2316" "(15,16]" "2002" "2me3" NA
"2317" "(16,17]" "2002" "2me3" NA
"2318" "(17,18]" "2002" "2me3" NA
"2319" "(18,19]" "2002" "2me3" NA
"2320" "(19,20]" "2002" "2me3" NA
"2321" "(0,1]" "2003" "2me3" NA
"2322" "(1,2]" "2003" "2me3" NA
"2323" "(2,3]" "2003" "2me3" NA
"2324" "(3,4]" "2003" "2me3" NA
"2325" "(4,5]" "2003" "2me3" NA
"2326" "(5,6]" "2003" "2me3" NA
"2327" "(6,7]" "2003" "2me3" NA
"2328" "(7,8]" "2003" "2me3" NA
"2329" "(8,9]" "2003" "2me3" NA
"2330" "(9,10]" "2003" "2me3" NA
"2331" "(10,11]" "2003" "2me3" NA
"2332" "(11,12]" "2003" "2me3" NA
"2333" "(12,13]" "2003" "2me3" NA
"2334" "(13,14]" "2003" "2me3" NA
"2335" "(14,15]" "2003" "2me3" NA
"2336" "(15,16]" "2003" "2me3" NA
"2337" "(16,17]" "2003" "2me3" NA
"2338" "(17,18]" "2003" "2me3" NA
"2339" "(18,19]" "2003" "2me3" NA
"2340" "(19,20]" "2003" "2me3" NA
"2341" "(0,1]" "2004" "2me3" NA
"2342" "(1,2]" "2004" "2me3" NA
"2343" "(2,3]" "2004" "2me3" NA
"2344" "(3,4]" "2004" "2me3" NA
"2345" "(4,5]" "2004" "2me3" NA
"2346" "(5,6]" "2004" "2me3" NA
"2347" "(6,7]" "2004" "2me3" NA
"2348" "(7,8]" "2004" "2me3" NA
"2349" "(8,9]" "2004" "2me3" NA
"2350" "(9,10]" "2004" "2me3" NA
"2351" "(10,11]" "2004" "2me3" NA
"2352" "(11,12]" "2004" "2me3" NA
"2353" "(12,13]" "2004" "2me3" NA
"2354" "(13,14]" "2004" "2me3" NA
"2355" "(14,15]" "2004" "2me3" NA
"2356" "(15,16]" "2004" "2me3" NA
"2357" "(16,17]" "2004" "2me3" NA
"2358" "(17,18]" "2004" "2me3" NA
"2359" "(18,19]" "2004" "2me3" NA
"2360" "(19,20]" "2004" "2me3" NA
"2361" "(0,1]" "2005" "2me3" NA
