year;tidal_zone;sample;species;Length.mm;age;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
2008;middle;19m2;Macoma balthica;17,0;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;13m1;Macoma balthica;19,9;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m1;Macoma balthica;19,9;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;20m3;Macoma balthica;17,8;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;18m3;Macoma balthica;15,1;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m2;Macoma balthica;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m2;Macoma balthica;15,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m2;Macoma balthica;20,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m2;Macoma balthica;14,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m3;Macoma balthica;13,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m2;Macoma balthica;11,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m1;Macoma balthica;15,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;8m1;Macoma balthica;18,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m1;Macoma balthica;16,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;1m1;Macoma balthica;18,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;5m2;Macoma balthica;18,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m2;Macoma balthica;18,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;6m3;Macoma balthica;19,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;1m3;Macoma balthica;18,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;1m2;Macoma balthica;17,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;low;MP11;Macoma balthica;3,5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;low;MP12;Macoma balthica;11,8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;low;MP12;Macoma balthica;19,1;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;low;MP13;Macoma balthica;15,4;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;low;MP14;Macoma balthica;3,9;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;low;MP14;Macoma balthica;4,2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;low;MP15;Macoma balthica;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
