site;Length_int;year;N_percent
Goreliy;(9,10];2009;6,8181818182
Goreliy;(10,11];2009;5,4545454545
Goreliy;(11,12];2009;4,0909090909
Goreliy;(12,13];2009;1,5909090909
Goreliy;(13,14];2009;1,1363636364
Goreliy;(14,15];2009;0
Goreliy;(15,16];2009;0
Goreliy;(16,17];2009;0,2272727273
Goreliy;(17,18];2009;0
Goreliy;(18,19];2009;0
Goreliy;(19,20];2009;0
Goreliy;(1,2];2010;6,8965517241
Goreliy;(2,3];2010;16,2561576355
Goreliy;(3,4];2010;9,1133004926
Goreliy;(4,5];2010;12,315270936
Goreliy;(5,6];2010;13,7931034483
Goreliy;(6,7];2010;8,1280788177
Goreliy;(7,8];2010;9,1133004926
Goreliy;(8,9];2010;4,6798029557
Goreliy;(9,10];2010;6,157635468
Goreliy;(10,11];2010;7,3891625616
Goreliy;(11,12];2010;2,9556650246
Goreliy;(12,13];2010;1,724137931
Goreliy;(13,14];2010;0,9852216749
Goreliy;(14,15];2010;0,2463054187
Goreliy;(15,16];2010;0,2463054187
Goreliy;(16,17];2010;0
Goreliy;(17,18];2010;0
Goreliy;(18,19];2010;0
Goreliy;(19,20];2010;0
Goreliy;(1,2];2011;21,186440678
Goreliy;(2,3];2011;15,7627118644
Goreliy;(3,4];2011;16,6101694915
Goreliy;(4,5];2011;11,8644067797
Goreliy;(5,6];2011;6,9491525424
Goreliy;(6,7];2011;4,406779661
Goreliy;(7,8];2011;4,2372881356
Goreliy;(8,9];2011;7,6271186441
Goreliy;(9,10];2011;4,2372881356
Goreliy;(10,11];2011;3,3898305085
Goreliy;(11,12];2011;1,6949152542
Goreliy;(12,13];2011;1,6949152542
Goreliy;(13,14];2011;0
Goreliy;(14,15];2011;0
Goreliy;(15,16];2011;0,3389830508
Goreliy;(16,17];2011;0
Goreliy;(17,18];2011;0
Goreliy;(18,19];2011;0
Goreliy;(19,20];2011;0
Goreliy;(1,2];2012;17,5337186898
Goreliy;(2,3];2012;12,1387283237
Goreliy;(3,4];2012;6,7437379576
Goreliy;(4,5];2012;7,1290944123
Goreliy;(5,6];2012;5,5876685934
Goreliy;(6,7];2012;10,0192678227
Goreliy;(7,8];2012;10,0192678227
Goreliy;(8,9];2012;9,633911368
Goreliy;(9,10];2012;8,0924855491
Goreliy;(10,11];2012;6,7437379576
Goreliy;(11,12];2012;2,8901734104
Goreliy;(12,13];2012;1,9267822736
Goreliy;(13,14];2012;1,1560693642
Goreliy;(14,15];2012;0,3853564547
Goreliy;(15,16];2012;0
Goreliy;(16,17];2012;0
Goreliy;(17,18];2012;0
Goreliy;(18,19];2012;0
Goreliy;(19,20];2012;0
razrez2;(1,2];1992;0,7462686567
razrez2;(2,3];1992;4,4776119403
razrez2;(3,4];1992;22,3880597015
razrez2;(4,5];1992;11,1940298507
razrez2;(5,6];1992;11,1940298507
razrez2;(6,7];1992;5,223880597
razrez2;(7,8];1992;9,7014925373
razrez2;(8,9];1992;6,7164179104
razrez2;(9,10];1992;10,447761194
razrez2;(10,11];1992;5,9701492537
razrez2;(11,12];1992;4,4776119403
razrez2;(12,13];1992;2,9850746269
razrez2;(13,14];1992;1,4925373134
razrez2;(14,15];1992;0,7462686567
razrez2;(15,16];1992;0
razrez2;(16,17];1992;1,4925373134
razrez2;(17,18];1992;0,7462686567
razrez2;(18,19];1992;0
razrez2;(19,20];1992;0
razrez2;(1,2];1993;2,7888446215
razrez2;(2,3];1993;13,1474103586
razrez2;(3,4];1993;22,3107569721
razrez2;(4,5];1993;6,7729083665
razrez2;(5,6];1993;7,171314741
razrez2;(6,7];1993;3,984063745
razrez2;(7,8];1993;3,984063745
razrez2;(8,9];1993;5,577689243
razrez2;(9,10];1993;3,5856573705
razrez2;(10,11];1993;8,3665338645
razrez2;(11,12];1993;6,374501992
razrez2;(12,13];1993;7,171314741
razrez2;(13,14];1993;1,9920318725
razrez2;(14,15];1993;3,187250996
razrez2;(15,16];1993;0,796812749
razrez2;(16,17];1993;1,1952191235
razrez2;(17,18];1993;0,3984063745
razrez2;(18,19];1993;0,796812749
razrez2;(19,20];1993;0,3984063745
razrez2;(1,2];1994;6,1440677966
razrez2;(2,3];1994;15,0423728814
razrez2;(3,4];1994;9,5338983051
razrez2;(4,5];1994;11,8644067797
razrez2;(5,6];1994;8,0508474576
razrez2;(6,7];1994;8,0508474576
razrez2;(7,8];1994;6,5677966102
razrez2;(8,9];1994;8,0508474576
razrez2;(9,10];1994;4,0254237288
razrez2;(10,11];1994;3,813559322
razrez2;(11,12];1994;4,8728813559
razrez2;(12,13];1994;3,3898305085
razrez2;(13,14];1994;3,813559322
razrez2;(14,15];1994;2,3305084746
razrez2;(15,16];1994;1,6949152542
razrez2;(16,17];1994;1,2711864407
razrez2;(17,18];1994;0,6355932203
razrez2;(18,19];1994;0,8474576271
razrez2;(19,20];1994;0
razrez2;(1,2];1995;14,7707979626
razrez2;(2,3];1995;10,1867572156
razrez2;(3,4];1995;12,0543293718
razrez2;(4,5];1995;7,4702886248
razrez2;(5,6];1995;6,2818336163
razrez2;(6,7];1995;6,2818336163
razrez2;(7,8];1995;5,2631578947
razrez2;(8,9];1995;7,8098471986
razrez2;(9,10];1995;7,9796264856
razrez2;(10,11];1995;6,1120543294
razrez2;(11,12];1995;4,753820034
razrez2;(12,13];1995;3,9049235993
razrez2;(13,14];1995;2,5466893039
razrez2;(14,15];1995;2,376910017
razrez2;(15,16];1995;1,1884550085
razrez2;(16,17];1995;0,5093378608
razrez2;(17,18];1995;0,5093378608
razrez2;(18,19];1995;0
razrez2;(19,20];1995;0
razrez2;(1,2];1996;2,7613412229
razrez2;(2,3];1996;6,1143984221
razrez2;(3,4];1996;9,8619329389
razrez2;(4,5];1996;10,8481262327
razrez2;(5,6];1996;8,2840236686
razrez2;(6,7];1996;6,3116370809
razrez2;(7,8];1996;7,4950690335
razrez2;(8,9];1996;8,0867850099
razrez2;(9,10];1996;10,0591715976
razrez2;(10,11];1996;5,325443787
razrez2;(11,12];1996;8,0867850099
razrez2;(12,13];1996;4,1420118343
razrez2;(13,14];1996;5,7199211045
razrez2;(14,15];1996;2,7613412229
razrez2;(15,16];1996;2,1696252465
razrez2;(16,17];1996;0,5917159763
razrez2;(17,18];1996;0,3944773176
razrez2;(18,19];1996;0,7889546351
razrez2;(19,20];1996;0,1972386588
razrez2;(1,2];1997;12,4248496994
razrez2;(2,3];1997;11,4228456914
razrez2;(3,4];1997;3,4068136273
razrez2;(4,5];1997;3,8076152305
razrez2;(5,6];1997;1,6032064128
razrez2;(6,7];1997;3,6072144289
razrez2;(7,8];1997;7,2144288577
razrez2;(8,9];1997;7,6152304609
razrez2;(9,10];1997;11,0220440882
razrez2;(10,11];1997;9,0180360721
razrez2;(11,12];1997;9,8196392786
razrez2;(12,13];1997;6,2124248497
razrez2;(13,14];1997;3,8076152305
razrez2;(14,15];1997;3,8076152305
razrez2;(15,16];1997;2,4048096192
razrez2;(16,17];1997;2,004008016
razrez2;(17,18];1997;0,2004008016
razrez2;(18,19];1997;0,4008016032
razrez2;(19,20];1997;0,2004008016
razrez2;(1,2];1998;46,3414634146
razrez2;(2,3];1998;21,2543554007
razrez2;(3,4];1998;8,0139372822
razrez2;(4,5];1998;2,3693379791
razrez2;(5,6];1998;1,6027874564
razrez2;(6,7];1998;1,3240418118
razrez2;(7,8];1998;1,5331010453
razrez2;(8,9];1998;1,6724738676
razrez2;(9,10];1998;2,5087108014
razrez2;(10,11];1998;3,6933797909
razrez2;(11,12];1998;2,4390243902
razrez2;(12,13];1998;2,3693379791
razrez2;(13,14];1998;1,9512195122
razrez2;(14,15];1998;0,9756097561
razrez2;(15,16];1998;0,7665505226
razrez2;(16,17];1998;0,5574912892
razrez2;(17,18];1998;0,3484320557
razrez2;(18,19];1998;0,1393728223
razrez2;(19,20];1998;0,1393728223
razrez2;(1,2];1999;65,0505902192
razrez2;(2,3];1999;10,9190556492
razrez2;(3,4];1999;5,7757166948
razrez2;(4,5];1999;4,3001686341
razrez2;(5,6];1999;2,9510961214
razrez2;(6,7];1999;2,065767285
razrez2;(7,8];1999;1,3912310287
razrez2;(8,9];1999;1,0539629005
razrez2;(9,10];1999;0,9696458685
razrez2;(10,11];1999;1,2225969646
razrez2;(11,12];1999;0,5902192243
razrez2;(12,13];1999;1,0118043845
razrez2;(13,14];1999;0,8010118044
razrez2;(14,15];1999;0,9696458685
razrez2;(15,16];1999;0,5059021922
razrez2;(16,17];1999;0,2529510961
razrez2;(17,18];1999;0,042158516
razrez2;(18,19];1999;0,084317032
razrez2;(19,20];1999;0,042158516
razrez2;(1,2];2000;29,9193548387
razrez2;(2,3];2000;18,8709677419
razrez2;(3,4];2000;12,2580645161
razrez2;(4,5];2000;8,4677419355
razrez2;(5,6];2000;8,3064516129
razrez2;(6,7];2000;4,9193548387
razrez2;(7,8];2000;3,3870967742
razrez2;(8,9];2000;3,5483870968
razrez2;(9,10];2000;1,6935483871
razrez2;(10,11];2000;2,1774193548
razrez2;(11,12];2000;1,2903225806
razrez2;(12,13];2000;1,6935483871
razrez2;(13,14];2000;1,0483870968
razrez2;(14,15];2000;0,8064516129
razrez2;(15,16];2000;0,8870967742
razrez2;(16,17];2000;0,2419354839
razrez2;(17,18];2000;0,3225806452
razrez2;(18,19];2000;0,0806451613
razrez2;(19,20];2000;0,0806451613
razrez2;(1,2];2002;24,0566037736
razrez2;(2,3];2002;8,1367924528
razrez2;(3,4];2002;11,6745283019
razrez2;(4,5];2002;7,7830188679
razrez2;(5,6];2002;8,7264150943
razrez2;(6,7];2002;8,7264150943
razrez2;(7,8];2002;9,3160377358
razrez2;(8,9];2002;6,1320754717
razrez2;(9,10];2002;6,1320754717
razrez2;(10,11];2002;2,8301886792
razrez2;(11,12];2002;2,5943396226
razrez2;(12,13];2002;1,4150943396
razrez2;(13,14];2002;1,5330188679
razrez2;(14,15];2002;0,3537735849
razrez2;(15,16];2002;0,1179245283
razrez2;(16,17];2002;0,2358490566
razrez2;(17,18];2002;0
razrez2;(18,19];2002;0,1179245283
razrez2;(19,20];2002;0,1179245283
razrez2;(1,2];2004;36,3819095477
razrez2;(2,3];2004;9,0452261307
razrez2;(3,4];2004;5,1256281407
razrez2;(4,5];2004;3,7185929648
razrez2;(5,6];2004;5,1256281407
razrez2;(6,7];2004;7,3366834171
razrez2;(7,8];2004;10,7537688442
razrez2;(8,9];2004;8,9447236181
razrez2;(9,10];2004;5,2261306533
razrez2;(10,11];2004;4,1206030151
razrez2;(11,12];2004;2,0100502513
razrez2;(12,13];2004;0,9045226131
razrez2;(13,14];2004;1,0050251256
razrez2;(14,15];2004;0,2010050251
razrez2;(15,16];2004;0,1005025126
razrez2;(16,17];2004;0
razrez2;(17,18];2004;0
razrez2;(18,19];2004;0
razrez2;(19,20];2004;0
